title_checkouts,id_checkouts,author_checkouts,Title,work_id,best_book_id,author_goodreads,title_goodreads,tier
monster manual,61769,,"Monster manual / [Monster manual lead, Christopher Perkins].",2002301,22219680,mike mearls,monster manual,exact
the einstein intersection unabridged,848684,samuel r delany,The Einstein Intersection (Unabridged),2006203,145354,samuel r delany,the einstein intersection,wgt_jaccard_0.2
have you seen my cat,10832,eric carle,Have you seen my cat? / Eric Carle.,2008128,351624,eric carle,have you seen my cat,exact
have you seen my potty,33496,mij kelly,Have you seen my potty? / written by Mij Kelly ; illustrated by Mary McQuillan.,2008128,351624,eric carle,have you seen my cat,wgt_jaccard_0.4
have you seen elephant,137974,david barrow,Have you seen elephant? / David Barrow.,2008128,351624,eric carle,have you seen my cat,wgt_jaccard_0.5
have you seen my monster,193796,steve light,Have you seen my monster? / Steve Light.,2008128,351624,eric carle,have you seen my cat,wgt_jaccard_0.35
have you seen my dinosaur,197628,jon surgal,Have you seen my dinosaur? / by Jon Surgal ; illustrated by Joe Mathieu.,2008128,351624,eric carle,have you seen my cat,wgt_jaccard_0.35
have you seen my trumpet,201783,micha escoffier l,Have you seen my trumpet? / written by MichaÃ«l Escoffier ; illustrated by Kris Di Giacomo.,2008128,351624,eric carle,have you seen my cat,wgt_jaccard_0.4
the cat book,120531,silvia borando,The cat book / Silvia Borando.,2008129,2004231,tomie depaola,the kids cat book,wgt_jaccard_0.4
the eye of the world,114720,robert jordan,The eye of the world / Robert Jordan.,2008238,228665,robert jordan,the eye of the world,exact
kristy s great idea baby sitters club graphix series book 1,68333,ann m martin,"Kristy's Great Idea: Baby-Sitters Club Graphix Series, Book 1",2008634,38424,raina telgemeier,the baby sitters club kristy s great idea,wgt_jaccard_0.4
what to do when your temper flares,146423,dawn huebner,What to do when your temper flares : a kid's guide to overcoming problems with anger / by Dawn Huebner ; illustrated by Bonnie Matthews.,2009100,2005181,dawn huebner,what to do when your temper flares,exact
the ugly duckling,20247,jerry pinkney,The ugly duckling / Hans Christian Andersen ; adapted and illustrated by Jerry Pinkney.,2011421,122968,iris johansen,the ugly duckling,exact
my neighbor totoro the novel,68715,tsugiko kubo,My neighbor Totoro : the novel / art and story by Hayao Miyazaki ; text by Tsugiko Kubo ; translated by Jim Hubbert.,2013034,2009024,hayao miyazaki,my neighbor totoro,wgt_jaccard_0.3
my neighbor totoro picture book,195414,hayao miyazaki,"My neighbor Totoro : picture book / original story and screenplay, written and directed by Hayao Miyazaki.",2013034,2009024,hayao miyazaki,my neighbor totoro,wgt_jaccard_0.35
zen ties,159714,jon muth j,Zen ties / by Jon J Muth.,2015910,2011708,jon j muth,zen ties,exact
zen shorts,201538,jon muth j,Zen shorts / by Jon J. Muth.,2015914,140181,jon j muth,zen shorts,exact
surprise,34377,mike henson,Surprise! / Mike Henson.,2016168,2011964,agatha christie,surprise surprise,wgt_jaccard_0.1
surprise,2155739,caroline hadilaksono,Surprise! / Caroline Hadilaksono.,2016168,2011964,agatha christie,surprise surprise,wgt_jaccard_0.1
the doorbell rang,166156,pat hutchins,The doorbell rang / by Pat Hutchins.,2016265,885187,pat hutchins,the doorbell rang,exact
twisted,41082,emma chase,Twisted,2019821,123106,laurie halse anderson,twisted,exact
twisted,144854,jane monheit,Twisted,2019821,123106,laurie halse anderson,twisted,exact
twisted,177926,rebecca zanetti,Twisted,2019821,123106,laurie halse anderson,twisted,exact
twisted,242961,laurie halse anderson,Twisted,2019821,123106,laurie halse anderson,twisted,exact
twisted,265827,lambert hendricks and ross,Twisted,2019821,123106,laurie halse anderson,twisted,exact
twisted,456006,two feet,Twisted,2019821,123106,laurie halse anderson,twisted,exact
twisted prey,775158,john sandford 1944 february 23,Twisted prey / John Sandford.,2019821,123106,laurie halse anderson,twisted,wgt_jaccard_0.5
runaway,28813,del shannon,Runaway,2019842,332624,wendelin van draanen,runaway,exact
runaway,58375,alice munro,Runaway,2019842,332624,wendelin van draanen,runaway,exact
runaway,166530,peter may,Runaway,2019842,332624,wendelin van draanen,runaway,exact
runaway,485415,mr little jeans,Runaway,2019842,332624,wendelin van draanen,runaway,exact
runaway,519419,,Runaway,2019842,332624,wendelin van draanen,runaway,exact
runaway,565270,wendelin van draanen,Runaway,2019842,332624,wendelin van draanen,runaway,exact
runaway,729618,celtic spirit,Runaway,2019842,332624,wendelin van draanen,runaway,exact
runaway,822234,the afters,Runaway,2019842,332624,wendelin van draanen,runaway,exact
thanks to the animals,17914,allen sockabasin j,"Thanks to the animals / Allen Sockabasin, Passamaquoddy storyteller ; illustrated by Rebekah Raye.",2020496,2016204,allen j sockabasin,thanks to the animals,exact
biscuit,186826,alyssa capucilli satin,Biscuit / story by Alyssa Satin Capucilli ; pictures by Pat Schories.,2020682,2016388,alyssa satin capucilli,biscuit,exact
wind,84367,marion bauer dane,Wind / written by Marion Dane Bauer ; illustrated by John Wallace.,2020865,2016571,marion dane bauer,wind,exact
wind,142079,haruki murakami,Wind/Pinball : two novels / Haruki Murakami ; translated from the Japanese by Ted Goossen.,2020865,2016571,marion dane bauer,wind,exact
treason s harbour aubrey,106069,patrick o brian,"Treason's Harbour: Aubrey / Maturin Series, Book 9 (unabridged) (Unabridged)",2021464,765093,patrick o brian,treason s harbour,wgt_jaccard_0.3
family tree,30304,susan wiggs,Family Tree: A Novel,2021882,64694,barbara delinsky,family tree,exact
for the love of autumn,183016,patricia polacco,For the love of Autumn / Patricia Polacco.,2025057,2020665,patricia polacco,for the love of autumn,exact
the mystery of the purple pool,132602,gertrude warner chandler,The mystery of the purple pool / created by Gertrude Chandler Warner ; illustrated by Charles Tang.,2026399,363303,gertrude chandler warner,the mystery of the purple pool the boxcar children 38,wgt_jaccard_0.45
wake up city,115114,erica silverman,"Wake up, city! / by Erica Silverman ; illustrated by Laure Fournier.",2026459,2022030,jack kerouac,wake up,wgt_jaccard_0.35
firefighters speeding spraying saving,87693,patricia hubbell,Firefighters! : speeding! spraying! saving! / written by Patricia Hubbell ; illustrated by Viviana Garofoli.,2027993,2023524,patricia hubbell,firefighters speeding spraying saving things that go,wgt_jaccard_0.35
teen titans go titans together,1439479,j torres,"Teen Titans go! Titans together / J. Torres, writer.",2028122,2023652,j torres,teen titans go titans together teen titans go graphic novels,wgt_jaccard_0.35
birds of the pacific northwest,101683,john shewey,"Birds of the Pacific Northwest / John Shewey and Tim Blount ; with Hendrik Herlyn, editor.",2029072,2024583,robert h ruby,indians of the pacific northwest,wgt_jaccard_0.45
pacific northwest,115564,stephen brewer,"Pacific Northwest / main contributors, Stephen Brewer, Constance Brissenden, Anita Carmin.",2029072,2024583,robert h ruby,indians of the pacific northwest,wgt_jaccard_0.5
insects of the pacific northwest,125612,peter haggard,Insects of the Pacific Northwest / Peter Haggard & Judy Haggard.,2029072,2024583,robert h ruby,indians of the pacific northwest,wgt_jaccard_0.5
wildflowers of the pacific northwest,151051,mark turner 1954 april 8,Wildflowers of the Pacific Northwest / Mark Turner & Phyllis Gustafson.,2029072,2024583,robert h ruby,indians of the pacific northwest,wgt_jaccard_0.5
mushrooms of the pacific northwest,192681,steve trudell,Mushrooms of the Pacific Northwest / Steve Trudell & Joe Ammirati ; illustrations by Marsha Mello.,2029072,2024583,robert h ruby,indians of the pacific northwest,wgt_jaccard_0.5
birds of the pacific northwest,228453,tom aversa,"Birds of the Pacific Northwest : a photographic guide / Tom Aversa, Richard Cannings, and Hal Opperman.",2029072,2024583,robert h ruby,indians of the pacific northwest,wgt_jaccard_0.45
butterflies of the pacific northwest,795535,robert pyle michael,Butterflies of the Pacific Northwest / Robert Michael Pyle and Caitlin C. LaBar ; scientific advisers: Jonathan Pelham ... [and others].,2029072,2024583,robert h ruby,indians of the pacific northwest,wgt_jaccard_0.5
the mouse and the motorcycle,163942,beverly cleary,The mouse and the motorcycle / Beverly Cleary ; illustrated by Tracy Dockray.,2029611,232109,beverly cleary,the mouse and the motorcycle,exact
ramona s world,60341,beverly cleary,Ramona's world / Beverly Cleary ; illustrated by Tracy Dockray.,2029654,91245,beverly cleary,ramona s world,exact
bear can t sleep,2034059,karma wilson,Bear can't sleep / Karma Wilson ; illustrations by Jane Chapman.,2030253,2025742,martin waddell,can t you sleep little bear,wgt_jaccard_0.3
collected essays,100463,james baldwin,"Collected essays / James Baldwin ; Toni Morrison, editor.",2036423,2031742,aldous huxley,collected essays,exact
wet,237557,carey sookocheff,Wet / Carey Sookocheff.,2038686,706048,e nesbit,wet magic,wgt_jaccard_0.4
the runaway bunny,187282,margaret brown wise,The runaway bunny / by Margaret Wise Brown ; pictures by Clement Hurd.,2039654,58922,margaret wise brown,the runaway bunny,exact
when the wind blew,12119,petra brown,When the wind blew / Petra Brown.,2039657,2034884,margaret wise brown,when the wind blew,exact
gossie and gertie,29127,olivier dunrea,Gossie & Gertie / [written and illustrated by] Olivier Dunrea.,2039786,1284044,olivier dunrea,gossie and gertie,exact
runaway,28813,del shannon,Runaway,2040369,14280,alice munro,runaway,exact
runaway,58375,alice munro,Runaway,2040369,14280,alice munro,runaway,exact
runaway,166530,peter may,Runaway,2040369,14280,alice munro,runaway,exact
runaway,485415,mr little jeans,Runaway,2040369,14280,alice munro,runaway,exact
runaway,519419,,Runaway,2040369,14280,alice munro,runaway,exact
runaway,565270,wendelin van draanen,Runaway,2040369,14280,alice munro,runaway,exact
runaway,729618,celtic spirit,Runaway,2040369,14280,alice munro,runaway,exact
runaway,822234,the afters,Runaway,2040369,14280,alice munro,runaway,exact
wiggle,163265,doreen cronin,Wiggle / Doreen Cronin ; art by Scott Menchin.,2041392,1082086,doreen cronin,wiggle,exact
saint george and the dragon,93255,margaret hodges,Saint George and the dragon : a golden legend / adapted by Margaret Hodges from Edmund Spenser's Faerie Queene ; illustrated by Trina Schart Hyman.,2042811,10118,margaret hodges,saint george and the dragon,exact
train dreams,221290,denis johnson,Train dreams / Denis Johnson.,2046778,12991188,denis johnson,train dreams,exact
mercy watson thinks like a pig,194621,kate dicamillo,Mercy Watson thinks like a pig / Kate DiCamillo ; illustrated by Chris Van Dusen.,2048260,2043328,kate dicamillo,mercy watson thinks like a pig,exact
thanksgiving mice,210146,bethany roberts,Thanksgiving mice! / by Bethany Roberts ; illustrated by Doug Cushman.,2049126,3255061,bethany roberts,thanksgiving mice,exact
halloween mice,54970,bethany roberts,Halloween mice! / by Bethany Roberts ; illustrated by Doug Cushman.,2049129,2044196,bethany roberts,halloween mice,exact
crucial conversations tools for talking when stakes are high,23371,kerry patterson,Crucial Conversations: Tools for Talking When Stakes are High,2051713,15014,kerry patterson,crucial conversations tools for talking when stakes are high,exact
crucial conversations tools for talking when stakes are high,215031,,Crucial conversations : tools for talking when stakes are high / Kerry Patterson ... [and others].,2051713,15014,kerry patterson,crucial conversations tools for talking when stakes are high,exact
boo,119737,ben newman,Boo! / Ben Newman.,2052444,285791,robert munsch,boo,exact
echo,15168,pam ryan mu oz,Echo : a novel / Pam MuÃ±oz Ryan.,2054427,14566,francesca lia block,echo,exact
echo,17170,pam munoz ryan,Echo,2054427,14566,francesca lia block,echo,exact
echo,23613,pam mu oz ryan,Echo: A Novel (unabridged) (Unabridged),2054427,14566,francesca lia block,echo,exact
echo,86271,hardwell feat jonathan mendelsohn,Echo,2054427,14566,francesca lia block,echo,exact
echo,1445384,francesca lia block,Echo,2054427,14566,francesca lia block,echo,exact
princess grace,12813,mary hoffman,Princess Grace / by Mary Hoffman ; illustrated by Cornelius Van Wright and Ying-Hwa Hu.,2054972,2050036,mary hoffman,princess grace,exact
double fudge,639,judy blume,Double Fudge / Judy Blume.,2055054,80672,judy blume,double fudge,exact
space boy,65711,leo landry,Space boy / written and illustrated by Leo Landry.,2057555,2052497,leo landry,space boy,exact
the snowball warren buffett and the business of life unabridged unabridged,103251,alice schroeder,The Snowball: Warren Buffett and the Business of Life (unabridged) (Unabridged),2059929,2054761,alice schroeder,the snowball warren buffett and the business of life,wgt_jaccard_0.1
my friend rabbit,85459,eric rohmann,My friend Rabbit / Eric Rohmann.,2060302,118230,eric rohmann,my friend rabbit,exact
madeline and the gypsies,70650,ludwig bemelmans,Madeline and the gypsies.,2062041,221428,ludwig bemelmans,madeline and the gypsies,exact
autobiography of a yogi,181062,paramahansa yogananda,Autobiography of a Yogi,2066960,639864,paramahansa yogananda,autobiography of a yogi,exact
coral reefs,230153,kristin rattini baird,Coral reefs / Kristin Baird Rattini.,2067066,2061854,gail gibbons,coral reefs,exact
alias grace,52372,margaret atwood,Alias Grace / Margaret Atwood.,2069530,72579,margaret atwood,alias grace,exact
dr seuss s sleep book,124979,dr seuss,Dr. Seuss's sleep book.,2069969,7772,dr seuss,dr seuss s sleep book,exact
dr seuss s abc,236486,dr seuss,Dr. Seuss's ABC.,2069969,7772,dr seuss,dr seuss s sleep book,wgt_jaccard_0.5
dr seuss s book of animals,269285,dr seuss,Dr. Seuss's book of animals.,2069969,7772,dr seuss,dr seuss s sleep book,wgt_jaccard_0.45
dr seuss s book of colors,438086,dr seuss,"Dr. Seuss's book of colors / [Dr. Seuss, author].",2069969,7772,dr seuss,dr seuss s sleep book,wgt_jaccard_0.45
there s a wocket in my pocket,103359,dr seuss,There's a wocket in my pocket!,2069970,310272,dr seuss,there s a wocket in my pocket,exact
hunches in bunches,169238,dr seuss,Hunches in bunches / by Dr. Seuss.,2069994,225184,dr seuss,hunches in bunches,exact
pumpkin time,118289,erzsi deak,Pumpkin time! / written by Erzsi DeÃ k ; illustrated by Doug Cushman.,2073622,2068388,kathleen weidner zoehfeld,pumpkin time,exact
biscuit loves the library,157975,alyssa capucilli satin,Biscuit loves the library / story by Alyssa Satin Capucilli ; pictures by Pat Schories.,2073969,2068734,alyssa satin capucilli,biscuit loves school,wgt_jaccard_0.5
one fish two fish red fish blue fish,60251,dr seuss,"One fish, two fish, red fish, blue fish / by Dr. Seuss.",2076173,2070930,dr seuss,one fish two fish red fish blue fish,exact
the beach house the beach house series book 1,212321,mary alice monroe,"The Beach House: The Beach House Series, Book 1",2076822,2071575,jane green,the beach house,wgt_jaccard_0.5
beach house reunion,1078104,mary alice monroe,Beach House Reunion,2076822,2071575,jane green,the beach house,wgt_jaccard_0.5
beach house reunion,1084944,mary monroe alice,Beach house reunion / Mary Alice Monroe.,2076822,2071575,jane green,the beach house,wgt_jaccard_0.5
the beach house the beach house series book 1,1286798,sally john,"The Beach House: The Beach House Series, Book 1",2076822,2071575,jane green,the beach house,wgt_jaccard_0.5
first snow,201256,po pak mi,First snow / Bomi Park.,2078297,2073049,bernette g ford,first snow,exact
first snow,1696628,nancy viau,First snow / Nancy Viau ; pictures by Talitha Shipman.,2078297,2073049,bernette g ford,first snow,exact
england,187422,,England / written and researched by Belinda Dixon [and seven others].,2078781,100893,julian barnes,england england,wgt_jaccard_0.1
suffer the little children,69339,donna leon,Suffer the little children / Donna Leon.,2080947,28978,donna leon,suffer the little children,exact
spiders,228617,laura murray k,Spiders / Laura K. Murray.,2081690,2076421,nic bishop,spiders,exact
high tide in hawaii,208942,mary osborne pope,High tide in Hawaii / by Mary Pope Osborne ; illustrated by Sal Murdocca.,2083657,89612,mary pope osborne,high tide in hawaii magic tree house 28,wgt_jaccard_0.5
firestar s quest,202291,erin hunter,Firestar's quest / Erin Hunter.,2083960,608906,erin hunter,firestar s quest,exact
not a stick,90229,antoinette portis,Not a stick / Antoinette Portis.,2084348,2079076,antoinette portis,not a stick,exact
how the mind works,120126,steven pinker,How the Mind Works,2085667,835623,steven pinker,how the mind works,exact
44 scotland street 44 scotland street series book 1 unabridged unabridged,192155,alexander mccall smith,"44 Scotland Street: 44 Scotland Street Series, Book 1 (unabridged) (Unabridged)",2086052,97875,alexander mccall smith,44 scotland street,wgt_jaccard_0.45
44 scotland street 44 scotland street series book 1,201114,alexander mccall smith,"44 Scotland Street: 44 Scotland Street Series, Book 1",2086052,97875,alexander mccall smith,44 scotland street,wgt_jaccard_0.35
nat turner,39266,kyle baker,Nat Turner / Kyle Baker.,2086072,2080794,kyle baker,nat turner,exact
naked,19452,james arthur,Naked,2086690,4138,david sedaris,naked,exact
naked,32694,david sedaris,Naked,2086690,4138,david sedaris,naked,exact
naked,42811,megan hart,Naked,2086690,4138,david sedaris,naked,exact
naked,1081018,kevin brooks,Naked,2086690,4138,david sedaris,naked,exact
the summer camp mysteries,458923,david adler a,The summer camp mysteries : a super special / David A. Adler ; illustrated by Joy Allen.,2089683,363286,gertrude chandler warner,the summer camp mystery boxcar children mysteries,wgt_jaccard_0.5
we belong together,126095,todd parr,We belong together : a book about adoption and families / Todd Parr.,2089727,2084447,todd parr,we belong together,exact
what it is,75009,lynda barry,What it is / [by Lynda Barry].,2091418,2086132,lynda barry,what it is,exact
the hidden kingdom,242093,tui sutherland,The hidden kingdom / by Tui T. Sutherland.,2094789,2089503,robert lacey,the kingdom,wgt_jaccard_0.45
amelia rules 1 the whole world s crazy,99167,jimmy gownley,"Amelia rules! [1], The whole world's crazy / Jimmy Gownley.",2094973,476504,jimmy gownley,amelia rules volume 1 the whole world s crazy,wgt_jaccard_0.15
the razor s edge,180373,w maugham somerset,The razor's edge / W. Somerset Maugham.,2095259,31196,w somerset maugham,the razor s edge,exact
altered carbon,133051,richard morgan k,Altered carbon / Richard K. Morgan.,2095852,40445,richard k morgan,altered carbon,exact
ah choo,218704,lana koehler wayne,Ah-choo! / by Lana Wayne Koehler & Gloria G. Adams ; illustrations by Ken Min.,2096199,2090841,mercer mayer,ah choo,exact
hidden treasure,209963,jessica burkhart,Hidden treasure / by Jessica Burkhart ; illustrated by Victoria Ying.,2099722,2094362,suzanne bloom,treasure,wgt_jaccard_0.5
the bus is for us,187295,michael rosen,The bus is for us! / Michael Rosen ; Gillian Tyler.,2099723,2094363,suzanne bloom,the bus for us,wgt_jaccard_0.25
the bus for us,200733,suzanne bloom,The bus for us / Suzanne Bloom.,2099723,2094363,suzanne bloom,the bus for us,exact
spiders,228617,laura murray k,Spiders / Laura K. Murray.,2100151,2094788,gail gibbons,spiders,exact
horses,151020,seymour simon,Horses / Seymour Simon.,2100153,2094790,gail gibbons,horses,exact
dinosaur discoveries,106361,gail gibbons,Dinosaur discoveries / by Gail Gibbons.,2100157,2094794,gail gibbons,dinosaur discoveries,exact
galaxies galaxies,330799,gail gibbons,"Galaxies, galaxies! / by Gail Gibbons.",2100163,2094800,gail gibbons,galaxies galaxies,exact
dinosaurs,79826,,Dinosaurs.,2100171,480321,gail gibbons,dinosaurs,exact
dinosaurs,126021,gail gibbons,Dinosaurs! / by Gail Gibbons.,2100171,480321,gail gibbons,dinosaurs,exact
dinosaurs,198797,kathleen zoehfeld weidner,Dinosaurs / Kathleen Weidner Zoehfeld.,2100171,480321,gail gibbons,dinosaurs,exact
cats,191720,joan galat marie,Cats / Joan Marie Galat.,2100188,2094825,gail gibbons,cats,exact
sea turtles,195076,quinn arnold m,Sea turtles / Quinn M. Arnold.,2100190,2094827,gail gibbons,sea turtles,exact
turtles,205945,laura marsh f,Turtles / Laura Marsh.,2100190,2094827,gail gibbons,sea turtles,wgt_jaccard_0.45
one flew over the cuckoo s nest,2598,ken kesey,One Flew Over the Cuckoo's Nest,2100252,332613,ken kesey,one flew over the cuckoo s nest,exact
one flew over the cuckoo s nest unabridged,102611,ken kesey,One Flew Over the Cuckoo's Nest (Unabridged),2100252,332613,ken kesey,one flew over the cuckoo s nest,wgt_jaccard_0.1
sand,151175,hugh howey,Sand,2101048,2095685,ellen prager,sand,exact
sand,1270624,wolfgang herrndorf,Sand,2101048,2095685,ellen prager,sand,exact
i don t know how she does it the life of kate reddy working mother,25060,allison pearson,"I Don't Know How She Does It: The Life of Kate Reddy, Working Mother",2101859,39045,allison pearson,i don t know how she does it,wgt_jaccard_0.5
suicide club,1414520,rachel heng,Suicide Club: A Novel About Living,2102442,143474,robert louis stevenson,the suicide club,wgt_jaccard_0.15
the thief,79060,,The Thief,2103850,83403,ruth rendell,the thief,exact
the thief,451118,fuminori nakamura,The Thief,2103850,83403,ruth rendell,the thief,exact
the thief,752872,j r ward,The Thief,2103850,83403,ruth rendell,the thief,exact
starting strength basic barbell training,322675,mark rippetoe,Starting strength : basic barbell training / Mark Rippetoe with Stef Bradford.,2104162,2098799,mark rippetoe,starting strength basic barbell training,exact
after on,172064,rob reid,After On: A Novel of Silicon Valley,2105268,39936,francine prose,after,wgt_jaccard_0.45
storm boy,67140,paul lewis owen,Storm boy / written and illustrated by Paul Owen Lewis.,2107863,80460,paul owen lewis,storm boy,exact
the mirror crack d from side to side unabridged,19880,agatha christie,The Mirror Crack'd from Side to Side (Unabridged),2107920,16372,agatha christie,the mirror crack d from side to side,wgt_jaccard_0.1
the mirror crack d from side to side miss marple series book 8,209991,agatha christie,"The Mirror Crack'd: from Side to Side: Miss Marple Series, Book 8",2107920,16372,agatha christie,the mirror crack d from side to side,wgt_jaccard_0.45
calvin and hobbes,122973,bill watterson,Calvin and Hobbes / by Bill Watterson ; [foreword by Garry Trudeau].,2110010,77727,bill watterson,calvin and hobbes,exact
the banker s wife,1522132,cristina alger,The Banker's Wife,2110472,422831,christopher reich,the devil s banker,wgt_jaccard_0.5
hungry bird,164772,jeremy tankard,Hungry Bird / Jeremy Tankard.,2111013,2105626,malachy doyle,hungry hungry hungry,wgt_jaccard_0.5
hungry bunny,1898341,claudia rueda,Hungry bunny / Claudia Rueda.,2111013,2105626,malachy doyle,hungry hungry hungry,wgt_jaccard_0.5
all the way to havana,161540,margarita engle,All the way to Havana / Margarita Engle ; Mike Curato.,2112222,2106835,marc harshman,all the way to morning,wgt_jaccard_0.5
the drawing of the three,169959,stephen king,The drawing of the three / Stephen King.,2113248,5094,stephen king,the drawing of the three,exact
dinosaur,97638,david lambert,Dinosaur / written by David Lambert.,2113403,2108001,mike thaler,little dinosaur,wgt_jaccard_0.45
big dinosaur little dinosaur,157538,devin wooster ann,"Big dinosaur, little dinosaur / [adapted] by Devin Ann Wooster ; illustrated by the Disney Storybook Art Team.",2113403,2108001,mike thaler,little dinosaur,wgt_jaccard_0.35
odd and the frost giants,23656,neil gaiman,Odd and the Frost Giants,2113600,2108198,neil gaiman,odd and the frost giants,exact
odd and the frost giants unabridged,126805,neil gaiman,Odd and the Frost Giants (Unabridged),2113600,2108198,neil gaiman,odd and the frost giants,wgt_jaccard_0.15
india,150112,,India / this edition written and researched by Abigail Blasi [and 12 others].,2114652,55676,v s naipaul,india,exact
india,230430,chloe perkins,India / by Chloe Perkins ; illustrated by Tom Woolley.,2114652,55676,v s naipaul,india,exact
volcano,23170,ellen prager j,Volcano! / Ellen J. Prager ; illustrated by Nancy Woodman.,2115189,2109784,ellen prager,volcano,exact
volcano escape,37611,j torres,Volcano escape / [adapted by J. Torres].,2115189,2109784,ellen prager,volcano,wgt_jaccard_0.45
volcano trash,149517,ben sears,Volcano trash : a Double+ adventure / by Ben Sears.,2115189,2109784,ellen prager,volcano,wgt_jaccard_0.5
buddha at bedtime tales of love and wisdom for you to read with your child to enchant enlighten and inspire,222975,dharmachari nagaraja,"Buddha at bedtime : tales of love and wisdom for you to read with your child to enchant, enlighten, and inspire / Dharmachari Nagaraja.",2116230,2110825,dharmachari nagaraja,buddha at bedtime tales of love and wisdom for you to read with your child to enchant enlighten and inspire,exact
the lies of locke lamora,97776,scott lynch,The lies of Locke Lamora / Scott Lynch.,2116675,127455,scott lynch,the lies of locke lamora,exact
astronaut handbook,169799,meghan mccarthy,Astronaut handbook / Meghan McCarthy.,2117294,2111887,meghan mccarthy,astronaut handbook,exact
do you want to be my friend,492482,eric carle,Do you want to be my friend? / by Eric Carle.,2117824,47676,eric carle,do you want to be my friend,exact
the fox went out on a chilly night,19982,peter spier,The fox went out on a chilly night / illustrated by Peter Spier.,2119888,667288,peter spier,the fox went out on a chilly night,exact
secret admirer,229779,ron roy,Secret admirer / by Ron Roy ; illustrated by John Steven Gurney.,2119926,176270,r l stine,secret admirer,exact
all you need for a snowman,71545,alice schertle,All you need for a snowman / Alice Schertle ; illustrated by Barbara Lavallee.,2120222,2114794,alice schertle,all you need for a snowman,exact
bubbles,1296441,kit chase,Bubbles / Kit Chase.,2122581,1750195,kathi appelt,bubbles bubbles,wgt_jaccard_0.1
the ugly five,1618204,julia donaldson,The ugly five / by Julia Donaldson ; illustrated by Axel Scheffler.,2123736,1359319,tedd arnold,five ugly monsters,wgt_jaccard_0.4
the eye book,217513,theo lesieg,"The eye book / by Dr. Seuss, writing as Theo. LeSieg ; illustrated by Joe Mathieu.",2124011,2118577,theo lesieg,the eye book,exact
the knife of never letting go,20320,patrick ness,The knife of never letting go / Patrick Ness.,2124180,2118745,patrick ness,the knife of never letting go,exact
the tipping point how little things can make a big difference,3002,malcolm gladwell,The Tipping Point: How Little Things Can Make a Big Difference,2124255,2612,malcolm gladwell,the tipping point how little things can make a big difference,exact
the tipping point how little things can make a big difference unabridged unabridged,213252,malcolm gladwell,The Tipping Point: How Little Things Can Make a Big Difference (unabridged) (Unabridged),2124255,2612,malcolm gladwell,the tipping point how little things can make a big difference,wgt_jaccard_0.1
oh the places you ll go,61296,dr seuss,"Oh, the places you'll go! / by Dr. Seuss.",2125304,191139,dr seuss,oh the places you ll go,exact
chuck s band,6761,peggy anderson perry,Chuck's band / by Peggy Perry Anderson.,2125958,2120521,peggy perry anderson,chuck s band,exact
a death of no importance,754109,mariah fredericks,A Death of No Importance: A Mystery (unabridged) (Unabridged),2126646,122648,oscar wilde,a woman of no importance,wgt_jaccard_0.4
jesse bear what will you wear,132233,nancy carlstrom white,"Jesse Bear, what will you wear? / by Nancy White Carlstrom ; illustrations by Bruce Degen.",2127106,2121669,nancy white carlstrom,jesse bear what will you wear,exact
the woman in black,221592,susan hill,The Woman in Black,2127172,37034,susan hill,the woman in black,exact
bedtime for frances,77459,russell hoban,Bedtime for Frances / by Russell Hoban ; pictures by Garth Williams.,2127174,906541,russell hoban,bedtime for frances,exact
fried green tomatoes at the whistle stop cafe,234664,fannie flagg,Fried Green Tomatoes at the Whistle Stop Cafe: A Novel,2129359,9375,fannie flagg,fried green tomatoes at the whistle stop cafe,exact
fablehaven,44939,brandon mull,Fablehaven / Brandon Mull ; illustrated by Brandon Dorman.,2129546,44652,brandon mull,fablehaven,exact
help,222727,holly keller,Help! : a story of friendship / Holly Keller.,2130911,2125471,holly keller,help,exact
dating ish,81070,penny reid,Dating-ish,2130956,765654,peter h reynolds,ish,wgt_jaccard_0.5
ish,114056,peter reynolds h,Ish / Peter H. Reynolds.,2130956,765654,peter h reynolds,ish,exact
the hollow,45419,agatha christie,The hollow / Agatha Christie.,2131383,16303,agatha christie,the hollow,exact
happy,96218,mies hout van,Happy / Mies van Hout.,2132164,2126721,daphne du maurier,happy christmas,wgt_jaccard_0.5
happy,122671,pharrell williams,Happy! / Pharrell Williams ; [interior photography by Amanda Pratt].,2132164,2126721,daphne du maurier,happy christmas,wgt_jaccard_0.5
happy,150803,emma dodd,Happy / Emma Dodd.,2132164,2126721,daphne du maurier,happy christmas,wgt_jaccard_0.5
dogs,183547,emily gravett,Dogs / Emily Gravett.,2133701,2128258,william wegman,dogs,exact
the deep,42716,tom taylor,The deep / created by Tom Taylor & James Brouwer ; written by Tom Taylor ; illustrated by James Brouwer ; lettered by Wolfgang Bylsma ; cover by James Brouwer.,2134345,694119,john crowley,the deep,exact
guns germs and steel the fates of human societies,19837,jared diamond m,"Guns, germs, and steel : the fates of human societies / Jared Diamond.",2138852,1842,jared diamond,guns germs and steel the fates of human societies,exact
guns germs and steel the fates of human societies unabridged unabridged,129862,jared diamond,"Guns, Germs, and Steel: The Fates of Human Societies (unabridged) (Unabridged)",2138852,1842,jared diamond,guns germs and steel the fates of human societies,wgt_jaccard_0.1
